apelido,atleta_id,clube_id,jogos_num,media_num,nome,pontos_num,posicao_id,preco_num,rodada_id,status_id,variacao_num,A,CA,CV,DD,FC,FD,FF,FS,FT,G,GC,GS,I,PE,RB,SG
Gilson Kleina,130,315,1,1.58,Gilson Kleina,1.58,6,5.22,1,7,-0.78,,,,,,,,,,,,,,,,
Matheus Lira,131,354,0,0.0,Matheus Bezerra Lira,0.0,4,1.0,1,6,0.0,,,,,,,,,,,,,,,,
Alan Ruschel,132,315,0,0.0,Alan Luciano Ruschel,0.0,4,5.0,1,6,0.0,,,,,,,,,,,,,,,,
Apodi,133,315,1,1.5,Luiz Diallison de Souza Alves,1.5,2,5.86,1,7,-1.14,,,,,2.0,,2.0,,,,,,,2.0,1.0,
Amaral,134,315,1,1.4,William José de Souza,1.4,4,5.1,1,7,-0.9,,,,,,,,1.0,,,,,,2.0,1.0,
Vinicius,135,315,1,2.2,Vinicius Santos Silva,2.2,5,4.27,1,7,0.27,,,,,1.0,,1.0,2.0,,,,,,2.0,1.0,
Eduardo,136,315,1,2.0,Carlos Eduardo Santos Oliveira,2.0,2,4.82,1,6,-0.18,,,,,,,,1.0,,,,,,,1.0,
Moisés Ribeiro,137,315,0,0.0,Moisés Ribeiro Santos,0.0,4,4.0,1,6,0.0,,,,,,,,,,,,,,,,
Nery Bareiro,138,315,0,0.0,Nery Rubén Bareiro Zorrilla,0.0,3,5.0,1,5,0.0,,,,,,,,,,,,,,,,
Neto,139,315,0,0.0,Hélio Hermito Zampier Neto,0.0,3,2.0,1,5,0.0,,,,,,,,,,,,,,,,
Luiz Antonio ,140,315,0,0.0,Luiz Antonio de Souza Soares,0.0,4,7.0,1,6,0.0,,,,,,,,,,,,,,,,
Canteros,141,315,1,4.7,Héctor Canteros,4.7,4,8.06,1,7,1.06,1.0,,,,,,,,,,,,,6.0,1.0,
Nadson,142,315,1,0.2,Nadson da Silva Almeida,0.2,4,2.89,1,6,-1.11,,,,,,,,1.0,,,,,,1.0,,
Douglas,143,315,1,2.0,Douglas Silva Bacelar,2.0,3,4.82,1,7,-0.18,,,,,3.0,,,1.0,,,,,,,2.0,
Nenén,144,315,0,0.0,Odair Souza ,0.0,4,3.0,1,6,0.0,,,,,,,,,,,,,,,,
Vinícius Freitas,145,315,0,0.0,Vinícius Freitas Ribeiro,0.0,2,3.0,1,6,0.0,,,,,,,,,,,,,,,,
Ivan,146,315,0,0.0,Gilsivan Soares da Silva ,0.0,1,2.0,1,6,0.0,,,,,,,,,,,,,,,,
Rafael Thyere,147,315,1,-1.8,Rafael Thyere Albuquerque Marques,-1.8,3,2.2,1,7,-2.8,,1.0,,,2.0,,,,,,,,,1.0,1.0,
Arthur ,148,315,1,1.8,Arthur Caíke do Nascimento Cruz,1.8,5,6.75,1,7,-1.25,,,,,,,2.0,1.0,,,,,,1.0,,
Luiz Otávio ,149,315,0,0.0,Luiz Otávio da Silva Santos,0.0,3,6.0,1,6,0.0,,,,,,,,,,,,,,,,
Osman,150,315,0,0.0,Osman de Menezes Venâncio Junior,0.0,5,4.0,1,6,0.0,,,,,,,,,,,,,,,,
Bruno Pacheco,151,315,1,1.2,Bruno de Jesus Pacheco,1.2,2,4.27,1,7,-0.73,,,,,1.0,,,1.0,,,,,,1.0,1.0,
Jandrei,152,315,1,-3.5,Jandrei Chitolina Carniel,-3.5,1,3.79,1,7,-5.21,,,,2.0,,,,1.0,,,,5.0,,,,
Guilherme,153,315,1,0.2,Guilherme Augusto Vieira dos Santos,0.2,5,5.65,1,6,-2.35,,,,,,,,1.0,,,,,,1.0,,
