apelido,atleta_id,id_clubes,jogos_num,media_num,nome_atleta,pontos_num,posicao_id,preco_num,rodada_id,status_id,variacao_num,A,CA,CV,DD,FC,FD,FF,FS,FT,G,GC,GS,I,PE,RB,SG,nome_clube,abreviacao_clube,aproveitamento_mandante,aproveitamento_visitante,clube_casa_id,clube_visitante_id,nome_status,nome_posicao,abreviacao_posicao
Arthur,121,354,1,"3,6",Arthur Mendonça Cabral,"3,6",5,"5,92",1,7,"0,92",,,,,,"1,0",,,,,,,,"2,0","2,0",,Ceará,CEA,"['', '', '', '', 'd']","['', '', '', '', 'v']",354,276,Provável,Atacante,ata
Andrigo,122,292,1,"1,6",Andrigo Oliveira de Araujo,"1,6",4,"6,61",1,7,"-1,39",,,,,"1,0","1,0","1,0",,,,,,"1,0","3,0","1,0",,Sport,SPO,"['', '', '', '', 'd']","['', '', '', '', 'e']",292,263,Provável,Meia,mei
Claudio Winck,289,292,1,"-1,8",Claudio Winck Neto,"-1,8",2,"2,2",1,7,"-2,8",,"1,0",,,"3,0",,,"1,0",,,,,,"1,0","1,0",,Sport,SPO,"['', '', '', '', 'd']","['', '', '', '', 'e']",292,263,Provável,Lateral,lat
Nelsinho Baptista,566,292,1,"1,41",Nélson Baptista Júnior,"1,41",6,"5,79",1,7,"-1,21",,,,,,,,,,,,,,,,,Sport,SPO,"['', '', '', '', 'd']","['', '', '', '', 'e']",292,263,Provável,Técnico,tec
Anselmo,567,292,1,"6,7",Anselmo de Moraes,"6,7",4,"10,13",1,7,"2,13",,,,,"2,0",,"1,0","3,0",,,,,,"2,0","4,0",,Sport,SPO,"['', '', '', '', 'd']","['', '', '', '', 'e']",292,263,Provável,Meia,mei
Fellipe Bastos,568,292,1,"0,9",Fellipe Ramos Ignez Bastos,"0,9",4,"3,38",1,7,"-0,62",,,,,"1,0","1,0","1,0",,,,,,,"2,0",,,Sport,SPO,"['', '', '', '', 'd']","['', '', '', '', 'e']",292,263,Provável,Meia,mei
Magrão,569,292,0,"0,0",Alessandro Beti Rosa,"0,0",1,"10,0",1,5,"0,0",,,,,,,,,,,,,,,,,Sport,SPO,"['', '', '', '', 'd']","['', '', '', '', 'e']",292,263,Contundido,Goleiro,gol
Agenor,574,292,1,"-6,0",Agenor Detofol,"-6,0",1,"0,69",1,7,"-2,31",,,,,,,,,,,,"3,0",,,,,Sport,SPO,"['', '', '', '', 'd']","['', '', '', '', 'e']",292,263,Provável,Goleiro,gol
Raul Prata,578,292,1,"7,1",Raul Prata,"7,1",2,"9,02",1,7,"3,02",,,,,,,,"1,0",,,,,,"3,0","5,0",,Sport,SPO,"['', '', '', '', 'd']","['', '', '', '', 'e']",292,263,Provável,Lateral,lat
Marlone,582,292,1,"1,6",Johnath Marlone Azevedo da Silva,"1,6",4,"7,3",1,7,"-1,7",,"1,0",,,"1,0","3,0","1,0","1,0",,,,,"1,0","1,0",,,Sport,SPO,"['', '', '', '', 'd']","['', '', '', '', 'e']",292,263,Provável,Meia,mei
Rogério,583,292,0,"0,0",José Rogério de Oliveira,"0,0",5,"7,0",1,5,"0,0",,,,,,,,,,,,,,,,,Sport,SPO,"['', '', '', '', 'd']","['', '', '', '', 'e']",292,263,Contundido,Atacante,ata
Léo Ortiz,593,292,1,"-1,5",Leonardo Rech Ortiz,"-1,5",3,"3,1",1,7,"-2,9",,"1,0",,,"2,0",,,,,,,,,,"1,0",,Sport,SPO,"['', '', '', '', 'd']","['', '', '', '', 'e']",292,263,Provável,Zagueiro,zag
Ernando,670,292,1,"0,5",Ernando Rodrigues Lopes,"0,5",3,"5,86",1,7,"-2,14",,,,,,,,"1,0",,,,,,,,,Sport,SPO,"['', '', '', '', 'd']","['', '', '', '', 'e']",292,263,Provável,Zagueiro,zag
Hygor,673,292,1,"-0,5",Hygor Cleber Garcia Silva,"-0,5",5,"1,03",1,7,"-0,97",,,,,"1,0",,,"1,0",,,,,"1,0",,,,Sport,SPO,"['', '', '', '', 'd']","['', '', '', '', 'e']",292,263,Provável,Atacante,ata
Ferreira,687,292,1,"3,9",Matheus Ferreira de Sousa,"3,9",4,"4,75",1,7,"1,75",,,,,,,,,,,,,,"2,0","3,0",,Sport,SPO,"['', '', '', '', 'd']","['', '', '', '', 'e']",292,263,Provável,Meia,mei
Willian,188,275,1,"2,8",Willian Gomes de Siqueira,"2,8",5,"8,82",1,7,"-1,18",,,,,"2,0","3,0",,"1,0",,,,,,"1,0",,,Palmeiras,PAL,"['', '', '', '', 'e']","['', '', '', '', 'v']",275,285,Provável,Atacante,ata
Roger Machado ,305,275,1,"1,45",Roger Machado Marques,"1,45",6,"9,96",1,7,"-3,04",,,,,,,,,,,,,,,,,Palmeiras,PAL,"['', '', '', '', 'e']","['', '', '', '', 'v']",275,285,Provável,Técnico,tec
Felipe Melo,315,275,1,"1,1",Felipe Melo de Carvalho,"1,1",4,"5,58",1,7,"-1,42",,"1,0",,,"1,0",,,,,,,,,"8,0","4,0",,Palmeiras,PAL,"['', '', '', '', 'e']","['', '', '', '', 'v']",275,285,Provável,Meia,mei
Diogo Barbosa,321,275,1,"-2,0",Diogo Barbosa Mendanha,"-2,0",2,"8,96",1,7,"-6,04",,"1,0",,,"3,0",,,,,,,,,"5,0","2,0",,Palmeiras,PAL,"['', '', '', '', 'e']","['', '', '', '', 'v']",275,285,Provável,Lateral,lat
Bruno Henrique,322,275,1,"1,9",Bruno Henrique Corsini,"1,9",4,"7,51",1,7,"-1,49",,,,,"2,0",,,"1,0",,,,,,"2,0","2,0",,Palmeiras,PAL,"['', '', '', '', 'e']","['', '', '', '', 'v']",275,285,Provável,Meia,mei
Marcos Rocha,323,275,1,"-3,5",Marcos Luis Rocha Aquino,"-3,5",2,"7,92",1,7,"-7,08",,"1,0",,,"3,0",,,,,,,,,"5,0","1,0",,Palmeiras,PAL,"['', '', '', '', 'e']","['', '', '', '', 'v']",275,285,Provável,Lateral,lat
Dudu,325,275,1,"1,9",Eduardo Pereira Rodrigues,"1,9",5,"18,53",1,7,"-6,47","1,0","1,0",,,"2,0",,,"1,0",,,,,,"7,0","1,0",,Palmeiras,PAL,"['', '', '', '', 'e']","['', '', '', '', 'v']",275,285,Provável,Atacante,ata
Jailson,326,275,1,"3,1",Jailson Marcelino dos Santos,"3,1",1,"11,78",1,7,"-2,22",,,,"2,0",,,,,,,,"1,0",,"3,0",,,Palmeiras,PAL,"['', '', '', '', 'e']","['', '', '', '', 'v']",275,285,Provável,Goleiro,gol
